cohort_month,months_since,cohort_size,pct_active
2024-07,0,257,100.0
2024-07,1,257,76.7
2024-07,2,257,47.1
2024-07,3,257,30.7
2024-07,4,257,12.5
2024-07,5,257,5.8
2024-07,6,257,2.3
2024-07,7,257,0.8
2024-07,8,257,0.4
2024-07,9,257,0.0
2024-08,0,784,100.0
2024-08,1,784,69.3
2024-08,2,784,44.1
2024-08,3,784,22.2
2024-08,4,784,8.2
2024-08,5,784,3.2
2024-08,6,784,0.5
2024-08,7,784,0.3
2024-08,8,784,0.0
2024-08,9,784,0.0
2024-09,0,826,100.0
2024-09,1,826,67.3
2024-09,2,826,41.5
2024-09,3,826,22.5
2024-09,4,826,8.7
2024-09,5,826,2.2
2024-09,6,826,1.1
2024-09,7,826,0.4
2024-09,8,826,0.0
2024-09,9,826,0.0
2024-10,0,924,100.0
2024-10,1,924,66.7
2024-10,2,924,39.9
2024-10,3,924,21.3
2024-10,4,924,9.3
2024-10,5,924,3.6
2024-10,6,924,1.1
2024-10,7,924,0.3
2024-10,8,924,0.1
2024-10,9,924,0.0
2024-11,0,938,100.0
2024-11,1,938,67.4
2024-11,2,938,40.3
2024-11,3,938,19.4
2024-11,4,938,8.4
2024-11,5,938,3.0
2024-11,6,938,0.5
2024-11,7,938,0.2
2024-11,8,938,0.0
2024-11,9,938,0.0
2024-12,0,1007,100.0
2024-12,1,1007,66.3
2024-12,2,1007,39.9
2024-12,3,1007,21.2
2024-12,4,1007,8.4
2024-12,5,1007,3.0
2024-12,6,1007,0.9
2024-12,7,1007,0.2
2024-12,8,1007,0.1
2024-12,9,1007,0.0
2025-01,0,1177,100.0
2025-01,1,1177,66.5
2025-01,2,1177,44.4
2025-01,3,1177,21.9
2025-01,4,1177,8.4
2025-01,5,1177,3.3
2025-01,6,1177,0.9
2025-01,7,1177,0.3
2025-01,8,1177,0.1
2025-01,9,1177,0.0
2025-02,0,1144,100.0
2025-02,1,1144,68.1
2025-02,2,1144,39.0
2025-02,3,1144,20.1
2025-02,4,1144,7.8
2025-02,5,1144,2.6
2025-02,6,1144,0.5
2025-02,7,1144,0.3
2025-02,8,1144,0.1
2025-02,9,1144,0.0
2025-03,0,1298,100.0
2025-03,1,1298,68.1
2025-03,2,1298,41.6
2025-03,3,1298,21.2
2025-03,4,1298,8.1
2025-03,5,1298,2.6
2025-03,6,1298,0.8
2025-03,7,1298,0.2
2025-03,8,1298,0.0
2025-03,9,1298,0.0
2025-04,0,1121,100.0
2025-04,1,1121,66.8
2025-04,2,1121,40.3
2025-04,3,1121,20.6
2025-04,4,1121,8.5
2025-04,5,1121,2.7
2025-04,6,1121,1.0
2025-04,7,1121,0.0
2025-04,8,1121,0.0
2025-04,9,1121,0.0
2025-05,0,1167,100.0
2025-05,1,1167,64.9
2025-05,2,1167,37.1
